X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
145.160251000346705,-37.936147999537319,35696,0,0,186,PHE NR REILLY,POS,M,080B05,0,0,0,0,,OPERATIONAL,,,0,0
143.333400000427019,-35.338571998728163,35697,0,0,6308,Swanhill-Sealake Rd / Campbell St,INT,V,586 H4,0,0,0,0,,OPERATIONAL,,,0,0
145.110314000150595,-38.017084999291058,35698,0,0,187,WELLS NR LANGSLOW,POS,M,093A04,0,0,0,0,,OPERATIONAL,,,0,0
145.172681000263509,-37.947571999089305,35699,0,0,188,PHE/CORRIGAN,INT,M,080E08,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.179479000109779,-37.953619998953833,35700,0,0,189,PHE/BROWNS,INT,M,080F10,0,0,0,0,,OPERATIONAL,,,0,0
145.195190000332389,-37.967644999198647,35701,0,0,191,PHE/HEATHERTON/EASTLINK,INT,M,089K02,0,0,0,0,,OPERATIONAL,SRLC,,0,0
145.203784000199278,-37.975411999241594,35702,0,0,192,PHE/GLADSTONE/JONES,INT,M,090B04,0,0,0,0,,OPERATIONAL,SRLC,,0,0
145.068545999611246,-37.847337999496851,35703,0,0,4045,TOORAK/GLEN IRIS,INT,M,060A05,0,0,0,0,,OPERATIONAL,"Bluetooth,SRLC",,0,0
145.077236999918057,-37.848291998754355,35704,0,0,4046,TOORAK/SUMMERHILL/CAMBERWELL,INT,M,060C05,0,0,0,0,,OPERATIONAL,"Bluetooth,TRAM PRI",,0,0
145.081992999579398,-37.848830999350326,35705,0,0,4048,TOORAK/HIGHFIELD/LITHGOW,INT,M,060D05,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
144.960078999981761,-37.792205999096353,35706,0,0,1062,COLLEGE NR CEMETERY,FLASH PX,M,2BC04,0,0,0,0,,OPERATIONAL,,,0,0
145.275333000035062,-37.786678999483335,35707,0,0,136,MAROONDAH/KENT,INT,M,050H01,0,0,0,0,,OPERATIONAL,,,0,0
145.29523799974487,-37.77142999882772,35708,0,0,138,MAROONDAH/DORSET/BELLARA/EXETER,INT,M,037C08,0,0,0,0,,OPERATIONAL,"Bluetooth,RLC",,0,0
145.282139999750314,-37.827893998791737,35709,0,0,139,CANTERBURY/BAYFIELD,INT,M,050K12,0,0,0,0,,OPERATIONAL,,,0,0
145.313169999857649,-37.758869998974738,35710,0,0,140,MAROONDAH/BLACK SPRINGS,INT,M,037G05,0,0,0,0,,OPERATIONAL,,,0,0
145.315889999744428,-37.758433999383463,35711,0,0,141,MAROONDAH/EDWARD/MANCHESTER,INT,M,037G05,0,0,0,0,,OPERATIONAL,PTS_SIGN,,0,0
145.334317000400006,-37.761066999091426,35712,0,0,142,MAROONDAH/VICTORIA,INT,M,038B05,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.347329999917491,-37.756954999393635,35713,0,0,143,MAROONDAH NR LILYDALE STN,POS,M,038D04,0,0,0,0,,OPERATIONAL,SRLC,,0,0
145.351739000556591,-37.757509999454399,35714,0,0,144,MAROONDAH NR CLARKE,POS,M,038E04,0,0,0,0,,OPERATIONAL,,,0,0
145.35483700014197,-37.757486999446954,35715,0,0,145,MAROONDAH/ANDERSON,INT,M,038F04,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.337019999493577,-37.81209999888091,35716,0,0,146,CANTERBURY/MT DANDENONG,INT,M,052B07,0,0,0,0,,OPERATIONAL,"Bluetooth,UPS",,0,0
145.373843999877209,-37.749916998913463,35717,0,0,147,MAROONDAH/WARBURTON,INT,M,038K03,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.311008000483213,-37.785042998820288,35718,0,0,148,MANCHESTER/BRICE,INT,M,037F12,0,0,0,0,,OPERATIONAL,RAIL LNK,,0,0
145.354494000169495,-37.758865998756072,35719,0,0,149,ANDERSON/HARDY,INT,M,038F05,0,0,0,0,,OPERATIONAL,,,0,0
145.515948000448844,-37.654159998934539,35720,0,0,150,MAROONDAH NR GREEN (TEST),POS,M,278C01,0,0,0,0,,OPERATIONAL,,,0,0
145.313451999934671,-37.773787999479012,35721,0,0,151,MANCHESTER/BELLARA,INT,M,037G09,0,0,0,0,,OPERATIONAL,,,0,0
